group-(95.2644271850586, 143.88905334472656) ;
group-(91.15161895751953, 86.8796157836914) ;
group-(108.5148696899414, 289.80279541015625) ;
group-(28.457101821899414, 171.4420623779297) ;
group-(110.79917907714844, 115.63514709472656) ;
group-(157.76486206054688, 183.16061401367188) ;
group-(50.57810974121094, 284.02587890625) ;
group-(87.71866607666016, 346.1268310546875) ;
group-(55.97947692871094, 130.5394287109375) ;
group-(66.67198181152344, 185.06137084960938) ;
group-(78.62714385986328, 170.5625) ;
group-(162.87149047851562, 199.54734802246094) ;
group-(112.86616516113281, 335.5403747558594) ;
group-(19.255783081054688, 274.55364990234375) ;
group-(121.2012710571289, 206.98902893066406) ;
group-(77.7480697631836, 360.8272705078125) ;
group-left(128.17782592773438, 307.4386291503906) ;
group-(100.76153564453125, 167.5709686279297) ;
group-(152.35462951660156, 166.30120849609375) ;
group-(102.63780975341797, 320.4330749511719) ;
group-(64.08475494384766, 281.1767578125) ;
group-(16.29815673828125, 183.56405639648438) ;
group-(245.67958068847656, 197.78909301757812) ;
group-(127.44156646728516, 178.0278778076172) ;
group-(65.91632080078125, 142.59251403808594) ;
group-(72.70319366455078, 185.37193298339844) ;
group-(101.76091003417969, 73.06766510009766) ;
group-(173.58375549316406, 212.42950439453125) ;
group-left(135.07582092285156, 132.0620880126953) ;
group-(88.35733032226562, 237.71966552734375) ;
group-(98.95179748535156, 100.92543029785156) ;
group-(157.02713012695312, 255.82762145996094) ;
group-(70.33899688720703, 107.13126373291016) ;
group-left(125.64776611328125, 114.5472640991211) ;
group-(89.8500747680664, 153.5774688720703) ;
group-(238.15780639648438, 181.77804565429688) ;
group-(61.72783660888672, 95.24685668945312) ;
group-(73.75194549560547, 311.36041259765625) ;
group-(142.93167114257812, 242.6649627685547) ;
group-(77.48226165771484, 330.69622802734375) ;
group-(85.809326171875, 69.28802490234375) ;
group-(78.41313171386719, 114.65255737304688) ;
group-(106.6348876953125, 241.0816650390625) ;
group-(80.27373504638672, 95.30307006835938) ;
group-(120.69493103027344, 292.72589111328125) ;
group-(44.00202941894531, 192.24119567871094) ;
group-(96.82756042480469, 157.4006805419922) ;
group-(73.94635772705078, 215.6436309814453) ;
group-(59.87725830078125, 334.87640380859375) ;
group-(73.09195709228516, 81.8115005493164) ;
group-(82.05622863769531, 267.5120544433594) ;
group-(66.53999328613281, 166.0357666015625) ;
group-(107.45654296875, 190.40208435058594) ;
group-(85.59884643554688, 165.93177795410156) ;
group-(90.26553344726562, 131.31472778320312) ;
group-(40.860958099365234, 314.1026306152344) ;
group-(117.64783477783203, 248.68968200683594) ;
group-(61.6718635559082, 257.9623718261719) ;
group-(105.58358764648438, 268.8666687011719) ;
group-(108.25279235839844, 86.38906860351562) ;
group-(53.71306610107422, 148.91256713867188) ;
group-(56.344947814941406, 307.8989562988281) ;
group-(86.34776306152344, 221.92373657226562) ;
group-(174.8014678955078, 264.980712890625) ;
group-(81.193115234375, 150.98916625976562) ;
group-(87.33737182617188, 284.369873046875) ;
group-(19.152156829833984, 156.94873046875) ;
group-(31.413185119628906, 264.4759521484375) ;
group-left(133.35116577148438, 196.82777404785156) ;
group-(132.78826904296875, 279.4037780761719) ;
group-(148.51205444335938, 283.3518981933594) ;
group-(99.13211822509766, 119.33026885986328) ;
group-(116.66765594482422, 320.2878112792969) ;
group-(110.299560546875, 176.8637237548828) ;
group-(105.26233673095703, 129.16281127929688) ;
group-left(39.1071662902832, 162.67750549316406) ;
group-(136.4108428955078, 150.27398681640625) ;
group-(24.390567779541016, 136.3506317138672) ;
group-(45.213172912597656, 296.6773986816406) ;
group-(43.28279495239258, 176.514892578125) ;
group-(75.0333480834961, 221.0029754638672) ;
group-(94.35151672363281, 308.6228332519531) ;
group-(58.69025802612305, 195.21511840820312) ;
group-(150.24215698242188, 141.20310974121094) ;
group-(35.37164306640625, 151.6883544921875) ;
group-(35.2693977355957, 281.828369140625) ;
group-(111.938720703125, 255.27920532226562) ;
group-(71.17742156982422, 296.19744873046875) ;
group-left(50.78984832763672, 261.460205078125) ;
group-(49.09946060180664, 274.6896667480469) ;
group-(119.03162384033203, 230.98519897460938) ;
group-(95.66693878173828, 186.32676696777344) ;
group-left(44.20390701293945, 120.19810485839844) ;
group-(55.74201583862305, 184.02789306640625) ;
group-left(39.59061050415039, 249.58981323242188) ;
group-(55.00871658325195, 246.43984985351562) ;
group-(114.40785217285156, 200.78285217285156) ;
group-(43.51055908203125, 137.03091430664062) ;
group-(64.42434692382812, 121.08432006835938) ;
group-(110.67153930664062, 303.9479064941406) ;
group-(114.54113006591797, 103.25397491455078) ;
group-(64.98858642578125, 320.9302978515625) ;
group-(78.889404296875, 262.2440490722656) ;
group-(102.56120300292969, 349.7036437988281) ;
group-left(146.6977996826172, 198.41082763671875) ;
group-(78.52550506591797, 282.79803466796875) ;
group-(71.72550201416016, 346.215087890625) ;
group-left(86.33004760742188, 134.05337524414062) ;
group-(97.03667449951172, 239.9779510498047) ;
group-(96.21382141113281, 255.927734375) ;
group-(32.616416931152344, 234.28099060058594) ;
group-(137.71279907226562, 211.68797302246094) ;
group-(84.17578125, 182.6953582763672) ;
group-(103.8433837890625, 281.0166931152344) ;
group-(7.689330101013184, 249.3431396484375) ;
group-(123.76667022705078, 263.8136291503906) ;
group-(54.38734436035156, 165.6435089111328) ;
group-(120.82235717773438, 186.9518280029297) ;
group-left(105.91648864746094, 143.26141357421875) ;
group-(25.65984344482422, 250.30076599121094) ;
group-(95.30802917480469, 334.4313049316406) ;
group-(65.57887268066406, 65.4549560546875) ;
group-(141.8892364501953, 182.5760498046875) ;
group-(69.82015228271484, 175.59832763671875) ;
group-left(59.045494079589844, 292.67193603515625) ;
group-(115.09385681152344, 277.17724609375) ;
group-(191.7326202392578, 182.95401000976562) ;
group-(68.80296325683594, 135.95672607421875) ;
group-(86.947021484375, 318.50177001953125) ;
group-(97.83096313476562, 175.17787170410156) ;
group-(63.9034538269043, 272.4739990234375) ;
group-(110.96525573730469, 160.45950317382812) ;
group-(134.80047607421875, 253.28775024414062) ;
group-(81.61949157714844, 301.0893249511719) ;
group-(68.08617401123047, 154.17703247070312) ;
group-(144.74916076660156, 267.4988708496094) ;
group-(90.03305053710938, 105.8801040649414) ;
group-(189.1283416748047, 165.6531524658203) ;
group-(102.55216217041016, 199.69561767578125) ;
group-left(174.58729553222656, 189.018310546875) ;
group-(222.51834106445312, 191.0409698486328) ;
group-(97.94786071777344, 293.5096435546875) ;
group-(136.02041625976562, 165.56121826171875) ;
group-(127.3831787109375, 238.02471923828125) ;
group-(188.47909545898438, 200.4645233154297) ;
group-(91.14034271240234, 271.3265075683594) ;
group-(108.73320007324219, 226.3571014404297) ;
group-left(56.526611328125, 108.41963958740234) ;
group-(31.764799118041992, 187.7302703857422) ;
group-(78.6323013305664, 194.3856658935547) ;
group-(119.47457122802734, 128.39466857910156) ;
group-left(122.98609924316406, 144.86940002441406) ;
group-(124.0041275024414, 165.5688934326172) ;
group-(121.81926727294922, 214.05865478515625) ;
group-(108.26123809814453, 210.61558532714844) ;
group-(95.32157897949219, 215.2615509033203) ;
group-(88.43522644042969, 199.7185516357422) ;
group-(74.12702941894531, 209.08363342285156) ;
group-left(70.15757751464844, 208.8240966796875) ;
