race,x,y
won,436.53,138.42
won,434.77,286.26
won,409.58,177.69
won,414.17,231.13
won,459.38,165.77
won,429.62,140.25
won,443.81,209.70
lost,359.29,174.41
won,431.35,234.60
won,438.24,93.72
won,371.94,167.97
won,389.13,121.42
left,379.71,344.66
won,451.02,217.19
won,399.47,193.28
left,450.62,161.63
won,408.12,173.31
left,439.55,303.02
won,439.13,57.48
won,457.09,291.42
won,440.37,152.70
won,461.34,99.74
lost,300.44,232.21
won,460.67,335.86
won,414.94,376.70
won,425.94,109.49
left,288.48,174.66
won,374.78,317.47
won,425.49,187.05
lost,318.46,191.28
won,451.64,326.39
won,387.29,251.08
won,426.85,303.09
won,369.25,182.81
left,414.06,115.17
left,397.51,343.89
lost,303.31,269.24
won,303.53,200.45
won,439.83,335.95
won,323.36,275.36
won,432.52,199.28
left,258.60,239.13
won,429.20,260.91
won,414.45,228.65
lost,412.28,264.13
won,397.83,152.01
left,428.21,150.90
left,466.99,317.99
won,403.80,362.57
won,301.87,162.19
won,431.25,118.10
won,448.94,112.66
won,432.92,206.40
won,403.95,83.52
left,413.59,336.65
lost,328.41,235.29
left,337.99,266.64
won,459.50,265.31
won,391.68,214.43
left,164.40,219.05
won,318.99,207.01
won,387.21,108.09
won,441.40,372.06
won,457.71,141.30
won,323.19,257.53
won,370.31,140.89
won,351.39,202.83
left,378.81,179.54
won,435.69,250.11
won,364.27,211.10
left,194.82,222.29
won,402.08,120.92
won,335.57,195.70
won,415.64,323.93
won,309.66,285.46
won,384.83,331.08
left,409.61,153.20
lost,403.03,201.67
won,451.59,348.44
left,474.32,173.24
lost,301.81,217.13
won,463.91,206.31
won,324.23,160.60
won,466.58,132.96
won,426.99,183.74
left,372.86,156.54
won,418.43,296.37
won,455.10,125.15
won,442.24,319.32
left,429.39,69.94
won,450.74,69.47
won,421.18,229.30
won,349.82,290.59
won,355.13,140.75
left,342.64,152.82
won,212.26,205.15
won,361.68,229.47
won,394.41,254.20
won,448.82,240.32
won,298.94,252.75
lost,404.24,328.55
won,416.54,309.84
lost,422.19,131.27
won,417.69,143.23
won,365.71,285.04
won,461.03,300.43
won,455.13,280.32
left,385.36,194.08
won,415.78,169.03
lost,402.58,172.84
left,403.35,310.63
left,461.86,193.21
won,383.15,305.25
won,335.88,212.95
lost,275.81,225.81
won,417.26,202.02
won,397.35,138.21
left,363.73,302.36
won,448.91,310.02
left,444.59,103.86
left,389.27,317.27
won,424.34,366.56
won,301.31,184.46
won,372.58,241.24
won,442.34,175.93
lost,363.02,126.96
won,466.80,278.82
won,436.44,82.80
left,470.03,262.98
left,331.17,179.33
won,378.17,205.05
lost,426.88,161.40
won,405.32,133.16
won,436.45,141.45
won,314.20,174.21
left,411.46,351.36
lost,381.86,131.59
won,317.34,224.90
lost,345.55,169.96
won,429.50,175.28
won,356.16,242.22
won,439.17,354.82
won,391.58,157.02
left,479.44,162.33
won,367.35,268.96
lost,435.29,230.14
won,415.94,198.06
won,376.25,291.76
won,444.05,292.66
left,397.61,92.35
left,267.90,209.84
won,428.26,293.52
won,398.42,288.90
won,425.86,344.67
won,385.77,282.02
left,441.49,279.05
won,464.81,151.89
lost,377.06,116.00
won,285.60,210.61
won,453.45,87.94
won,426.94,327.85
won,448.35,166.69
won,431.17,99.71
won,402.75,112.35
won,467.60,182.24
won,434.32,196.20
won,400.20,300.78
won,438.38,127.18
won,420.10,84.99
lost,354.03,216.66
left,342.70,230.56
won,406.80,224.94
won,465.35,115.40
won,407.71,255.01
left,383.06,145.04
won,380.92,256.71
left,473.49,293.03
won,462.54,233.84
lost,397.47,221.66
won,367.63,194.44
won,414.10,100.67
lost,367.34,249.97
won,461.31,216.03
won,454.26,176.70
left,379.67,236.93
lost,412.31,70.32
won,447.96,202.29
won,338.21,247.99
won,387.86,243.89
won,392.82,206.11
won,440.89,187.68
left,408.05,183.13
left,385.99,170.20
lost,250.95,203.92
won,368.70,223.16
won,407.38,159.35
left,428.45,309.94
won,351.56,186.32
won,404.62,241.03
won,421.40,119.03
won,384.89,215.39
won,449.48,229.72
left,444.32,250.93
won,423.48,216.09
left,479.36,143.15
won,438.41,216.62
won,392.59,188.18
won,355.10,275.60
won,410.94,289.97
won,407.01,211.72
won,447.38,150.17
won,360.11,158.05
lost,422.34,56.50
lost,403.74,57.95
won,394.93,71.83
won,383.91,84.66
left,375.10,98.11
lost,284.67,158.01
won,241.32,189.09
won,33.96,213.36
won,59.42,210.74
lost,153.11,205.03
left,193.50,204.34
won,254.25,221.87
won,313.56,242.50
won,350.34,258.66
won,378.79,274.21
won,401.91,271.49
left,426.92,277.21
won,410.29,272.30
left,393.96,264.64
won,426.64,266.61
lost,436.96,265.32
lost,460.35,259.60
won,466.60,248.60
left,472.47,240.71
won,475.13,226.56
won,480.55,213.22
left,477.51,196.64
won,305.04,145.20
won,287.33,192.70
won,268.47,192.01
lost,219.52,221.62
won,407.88,242.66
won,417.46,239.30
left,433.79,242.68
lost,482.62,253.03
lost,422.02,253.86
