group-(436.5345764160156, 138.41854858398438);
group-(434.77252197265625, 286.2600402832031);
group-(409.5758361816406, 177.68612670898438);
group-(414.1672058105469, 231.13156127929688);
group-(459.3751525878906, 165.767333984375);
group-(429.61614990234375, 140.24795532226562);
group-(443.80584716796875, 209.7024383544922);
group-lost(359.2923889160156, 174.41281127929688);
group-(431.3475036621094, 234.59988403320312);
group-(438.2435302734375, 93.71755981445312);
group-(371.9427795410156, 167.9693603515625);
group-(389.1270751953125, 121.41817474365234);
group-left(379.70745849609375, 344.6576232910156);
group-(451.0243835449219, 217.1918182373047);
group-(399.46832275390625, 193.27557373046875);
group-left(450.62188720703125, 161.63218688964844);
group-(408.1217041015625, 173.31268310546875);
group-left(439.550537109375, 303.01519775390625);
group-(439.1282043457031, 57.47616958618164);
group-(457.0924377441406, 291.4151611328125);
group-(440.36834716796875, 152.70376586914062);
group-(461.3357238769531, 99.74407196044922);
group-lost(300.4417724609375, 232.205810546875);
group-(460.67425537109375, 335.8639221191406);
group-(414.9424743652344, 376.6976318359375);
group-(425.9384460449219, 109.48560333251953);
group-left(288.4841003417969, 174.65859985351562);
group-(374.7765197753906, 317.4727783203125);
group-(425.49224853515625, 187.0455322265625);
group-lost(318.4584045410156, 191.27606201171875);
group-(451.6439514160156, 326.3858947753906);
group-(387.29345703125, 251.07574462890625);
group-(426.8523254394531, 303.0911865234375);
group-(369.2509460449219, 182.81021118164062);
group-left(414.0614318847656, 115.16944885253906);
group-left(397.50750732421875, 343.8851013183594);
group-lost(303.3121032714844, 269.2447204589844);
group-(303.5339050292969, 200.45428466796875);
group-(439.8301086425781, 335.9478454589844);
group-(323.36419677734375, 275.35809326171875);
group-(432.5218811035156, 199.27874755859375);
group-left(258.6048278808594, 239.12635803222656);
group-(429.1960754394531, 260.90618896484375);
group-(414.4500732421875, 228.6495361328125);
group-lost(412.2844543457031, 264.12762451171875);
group-(397.8306884765625, 152.00680541992188);
group-left(428.2149658203125, 150.90164184570312);
group-left(466.98992919921875, 317.9936828613281);
group-(403.7984924316406, 362.56878662109375);
group-(301.8748779296875, 162.1912078857422);
group-(431.2474670410156, 118.10101318359375);
group-(448.9433288574219, 112.66011047363281);
group-(432.9216003417969, 206.39669799804688);
group-(403.9503479003906, 83.52423095703125);
group-left(413.5852355957031, 336.653564453125);
group-lost(328.4115295410156, 235.28929138183594);
group-left(337.98724365234375, 266.6398620605469);
group-(459.49847412109375, 265.3109130859375);
group-(391.6789245605469, 214.42633056640625);
group-left(164.39698791503906, 219.0458526611328);
group-(318.9862060546875, 207.0113067626953);
group-(387.2135009765625, 108.0890121459961);
group-(441.40191650390625, 372.05743408203125);
group-(457.71270751953125, 141.3022003173828);
group-(323.1883544921875, 257.5316467285156);
group-(370.3108215332031, 140.894775390625);
